😀	face-smiling/grinning-face
👳🏼‍♂️	person-role/man-wearing-turban-medium-light-skin-tone
👳🏼‍♂	person-role/man-wearing-turban-medium-light-skin-tone
👳🏽‍♂️	person-role/man-wearing-turban-medium-skin-tone
👳🏽‍♂	person-role/man-wearing-turban-medium-skin-tone
👳🏾‍♂️	person-role/man-wearing-turban-medium-dark-skin-tone
👳🏾‍♂	person-role/man-wearing-turban-medium-dark-skin-tone
👳🏿‍♂️	person-role/man-wearing-turban-dark-skin-tone
👳🏿‍♂	person-role/man-wearing-turban-dark-skin-tone
👳‍♀️	person-role/woman-wearing-turban
👳‍♀	person-role/woman-wearing-turban
👳🏻‍♀️	person-role/woman-wearing-turban-light-skin-tone
👳🏻‍♀	person-role/woman-wearing-turban-light-skin-tone
👳🏼‍♀️	person-role/woman-wearing-turban-medium-light-skin-tone
👳🏼‍♀	person-role/woman-wearing-turban-medium-light-skin-tone
👳🏽‍♀️	person-role/woman-wearing-turban-medium-skin-tone
👳🏽‍♀	person-role/woman-wearing-turban-medium-skin-tone
👳🏾‍♀️	person-role/woman-wearing-turban-medium-dark-skin-tone
👳🏾‍♀	person-role/woman-wearing-turban-medium-dark-skin-tone
👳🏿‍♀️	person-role/woman-wearing-turban-dark-skin-tone
👳🏿‍♀	person-role/woman-wearing-turban-dark-skin-tone
👲	person-role/person-with-skullcap
👲🏻	person-role/person-with-skullcap-light-skin-tone
👲🏼	person-role/person-with-skullcap-medium-light-skin-tone
👲🏽	person-role/person-with-skullcap-medium-skin-tone
👲🏾	person-role/person-with-skullcap-medium-dark-skin-tone
👲🏿	person-role/person-with-skullcap-dark-skin-tone
🧕	person-role/woman-with-headscarf
🧕🏻	person-role/woman-with-headscarf-light-skin-tone
🧕🏼	person-role/woman-with-headscarf-medium-light-skin-tone
🧕🏽	person-role/woman-with-headscarf-medium-skin-tone
🧕🏾	person-role/woman-with-headscarf-medium-dark-skin-tone
🧕🏿	person-role/woman-with-headscarf-dark-skin-tone
🤵	person-role/person-in-tuxedo
🤵🏻	person-role/person-in-tuxedo-light-skin-tone
🤵🏼	person-role/person-in-tuxedo-medium-light-skin-tone
🤵🏽	person-role/person-in-tuxedo-medium-skin-tone
🤵🏾	person-role/person-in-tuxedo-medium-dark-skin-tone
🤵🏿	person-role/person-in-tuxedo-dark-skin-tone
🤵‍♂️	person-role/man-in-tuxedo
🤵‍♂	person-role/man-in-tuxedo
🤵🏻‍♂️	person-role/man-in-tuxedo-light-skin-tone
🤵🏻‍♂	person-role/man-in-tuxedo-light-skin-tone
🤵🏼‍♂️	person-role/man-in-tuxedo-medium-light-skin-tone
🤵🏼‍♂	person-role/man-in-tuxedo-medium-light-skin-tone
🤵🏽‍♂️	person-role/man-in-tuxedo-medium-skin-tone
🤵🏽‍♂	person-role/man-in-tuxedo-medium-skin-tone
🤵🏾‍♂️	person-role/man-in-tuxedo-medium-dark-skin-tone
🤵🏾‍♂	person-role/man-in-tuxedo-medium-dark-skin-tone
🤵🏿‍♂️	person-role/man-in-tuxedo-dark-skin-tone
🤵🏿‍♂	person-role/man-in-tuxedo-dark-skin-tone
🤵‍♀️	person-role/woman-in-tuxedo
🤵‍♀	person-role/woman-in-tuxedo
🤵🏻‍♀️	person-role/woman-in-tuxedo-light-skin-tone
🤵🏻‍♀	person-role/woman-in-tuxedo-light-skin-tone
🤵🏼‍♀️	person-role/woman-in-tuxedo-medium-light-skin-tone
🤵🏼‍♀	person-role/woman-in-tuxedo-medium-light-skin-tone
🤵🏽‍♀️	person-role/woman-in-tuxedo-medium-skin-tone
🤵🏽‍♀	person-role/woman-in-tuxedo-medium-skin-tone
🤵🏾‍♀️	person-role/woman-in-tuxedo-medium-dark-skin-tone
🤵🏾‍♀	person-role/woman-in-tuxedo-medium-dark-skin-tone
🤵🏿‍♀️	person-role/woman-in-tuxedo-dark-skin-tone
🤵🏿‍♀	person-role/woman-in-tuxedo-dark-skin-tone
👰	person-role/person-with-veil
👰🏻	person-role/person-with-veil-light-skin-tone
👰🏼	person-role/person-with-veil-medium-light-skin-tone
👰🏽	person-role/person-with-veil-medium-skin-tone
👰🏾	person-role/person-with-veil-medium-dark-skin-tone
👰🏿	person-role/person-with-veil-dark-skin-tone
👰‍♂️	person-role/man-with-veil
👰‍♂	person-role/man-with-veil
👰🏻‍♂️	person-role/man-with-veil-light-skin-tone
👰🏻‍♂	person-role/man-with-veil-light-skin-tone
👰🏼‍♂️	person-role/man-with-veil-medium-light-skin-tone
👰🏼‍♂	person-role/man-with-veil-medium-light-skin-tone
👰🏽‍♂️	person-role/man-with-veil-medium-skin-tone
👰🏽‍♂	person-role/man-with-veil-medium-skin-tone
👰🏾‍♂️	person-role/man-with-veil-medium-dark-skin-tone
👰🏾‍♂	person-role/man-with-veil-medium-dark-skin-tone
👰🏿‍♂️	person-role/man-with-veil-dark-skin-tone
👰🏿‍♂	person-role/man-with-veil-dark-skin-tone
👰‍♀️	person-role/woman-with-veil
👰‍♀	person-role/woman-with-veil
👰🏻‍♀️	person-role/woman-with-veil-light-skin-tone
👰🏻‍♀	person-role/woman-with-veil-light-skin-tone
👰🏼‍♀️	person-role/woman-with-veil-medium-light-skin-tone
👰🏼‍♀	person-role/woman-with-veil-medium-light-skin-tone
👰🏽‍♀️	person-role/woman-with-veil-medium-skin-tone
👰🏽‍♀	person-role/woman-with-veil-medium-skin-tone
👰🏾‍♀️	person-role/woman-with-veil-medium-dark-skin-tone
👰🏾‍♀	person-role/woman-with-veil-medium-dark-skin-tone
👰🏿‍♀️	person-role/woman-with-veil-dark-skin-tone
👰🏿‍♀	person-role/woman-with-veil-dark-skin-tone
🤰	person-role/pregnant-woman
🤰🏻	person-role/pregnant-woman-light-skin-tone
🤰🏼	person-role/pregnant-woman-medium-light-skin-tone
🤰🏽	person-role/pregnant-woman-medium-skin-tone
🤰🏾	person-role/pregnant-woman-medium-dark-skin-tone
🤰🏿	person-role/pregnant-woman-dark-skin-tone
🫃	person-role/pregnant-man
🫃🏻	person-role/pregnant-man-light-skin-tone
🫃🏼	person-role/pregnant-man-medium-light-skin-tone
🫃🏽	person-role/pregnant-man-medium-skin-tone
🫃🏾	person-role/pregnant-man-medium-dark-skin-tone
🫃🏿	person-role/pregnant-man-dark-skin-tone
🫄	person-role/pregnant-person
🫄🏻	person-role/pregnant-person-light-skin-tone
🫄🏼	person-role/pregnant-person-medium-light-skin-tone
🫄🏽	person-role/pregnant-person-medium-skin-tone
🫄🏾	person-role/pregnant-person-medium-dark-skin-tone
🫄🏿	person-role/pregnant-person-dark-skin-tone
🤱	person-role/breast-feeding
🤱🏻	person-role/breast-feeding-light-skin-tone
🤱🏼	person-role/breast-feeding-medium-light-skin-tone
🤱🏽	person-role/breast-feeding-medium-skin-tone
🤱🏾	person-role/breast-feeding-medium-dark-skin-tone
🤱🏿	person-role/breast-feeding-dark-skin-tone
👩‍🍼	person-role/woman-feeding-baby
👩🏻‍🍼	person-role/woman-feeding-baby-light-skin-tone
👩🏼‍🍼	person-role/woman-feeding-baby-medium-light-skin-tone
👩🏽‍🍼	person-role/woman-feeding-baby-medium-skin-tone
👩🏾‍🍼	person-role/woman-feeding-baby-medium-dark-skin-tone
👩🏿‍🍼	person-role/woman-feeding-baby-dark-skin-tone
👨‍🍼	person-role/man-feeding-baby
👨🏻‍🍼	person-role/man-feeding-baby-light-skin-tone
👨🏼‍🍼	person-role/man-feeding-baby-medium-light-skin-tone
👨🏽‍🍼	person-role/man-feeding-baby-medium-skin-tone
👨🏾‍🍼	person-role/man-feeding-baby-medium-dark-skin-tone
👨🏿‍🍼	person-role/man-feeding-baby-dark-skin-tone
🧑‍🍼	person-role/person-feeding-baby
🧑🏻‍🍼	person-role/person-feeding-baby-light-skin-tone
🧑🏼‍🍼	person-role/person-feeding-baby-medium-light-skin-tone
🧑🏽‍🍼	person-role/person-feeding-baby-medium-skin-tone
🧑🏾‍🍼	person-role/person-feeding-baby-medium-dark-skin-tone
🧑🏿‍🍼	person-role/person-feeding-baby-dark-skin-tone
👼	person-fantasy/baby-angel
👼🏻	person-fantasy/baby-angel-light-skin-tone
👼🏼	person-fantasy/baby-angel-medium-light-skin-tone
👼🏽	person-fantasy/baby-angel-medium-skin-tone
👼🏾	person-fantasy/baby-angel-medium-dark-skin-tone
👼🏿	person-fantasy/baby-angel-dark-skin-tone
🎅	person-fantasy/Santa-Claus
🎅🏻	person-fantasy/Santa-Claus-light-skin-tone
🎅🏼	person-fantasy/Santa-Claus-medium-light-skin-tone
🎅🏽	person-fantasy/Santa-Claus-medium-skin-tone
🎅🏾	person-fantasy/Santa-Claus-medium-dark-skin-tone
🎅🏿	person-fantasy/Santa-Claus-dark-skin-tone
🤶	person-fantasy/Mrs-Claus
🤶🏻	person-fantasy/Mrs-Claus-light-skin-tone
🤶🏼	person-fantasy/Mrs-Claus-medium-light-skin-tone
🤶🏽	person-fantasy/Mrs-Claus-medium-skin-tone
🤶🏾	person-fantasy/Mrs-Claus-medium-dark-skin-tone
🤶🏿	person-fantasy/Mrs-Claus-dark-skin-tone
🧑‍🎄	person-fantasy/mx-claus
🧑🏻‍🎄	person-fantasy/mx-claus-light-skin-tone
🧑🏼‍🎄	person-fantasy/mx-claus-medium-light-skin-tone
🧑🏽‍🎄	person-fantasy/mx-claus-medium-skin-tone
🧑🏾‍🎄	person-fantasy/mx-claus-medium-dark-skin-tone
🧑🏿‍🎄	person-fantasy/mx-claus-dark-skin-tone
🦸	person-fantasy/superhero
🦸🏻	person-fantasy/superhero-light-skin-tone
🦸🏼	person-fantasy/superhero-medium-light-skin-tone
🦸🏽	person-fantasy/superhero-medium-skin-tone
🦸🏾	person-fantasy/superhero-medium-dark-skin-tone
🦸🏿	person-fantasy/superhero-dark-skin-tone
🦸‍♂️	person-fantasy/man-superhero
🦸‍♂	person-fantasy/man-superhero
🦸🏻‍♂️	person-fantasy/man-superhero-light-skin-tone
🦸🏻‍♂	person-fantasy/man-superhero-light-skin-tone
🦸🏼‍♂️	person-fantasy/man-superhero-medium-light-skin-tone
🦸🏼‍♂	person-fantasy/man-superhero-medium-light-skin-tone
🦸🏽‍♂️	person-fantasy/man-superhero-medium-skin-tone
🦸🏽‍♂	person-fantasy/man-superhero-medium-skin-tone
🦸🏾‍♂️	person-fantasy/man-superhero-medium-dark-skin-tone
🦸🏾‍♂	person-fantasy/man-superhero-medium-dark-skin-tone
🦸🏿‍♂️	person-fantasy/man-superhero-dark-skin-tone
🦸🏿‍♂	person-fantasy/man-superhero-dark-skin-tone
🦸‍♀️	person-fantasy/woman-superhero
🦸‍♀	person-fantasy/woman-superhero
🦸🏻‍♀️	person-fantasy/woman-superhero-light-skin-tone
🦸🏻‍♀	person-fantasy/woman-superhero-light-skin-tone
🦸🏼‍♀️	person-fantasy/woman-superhero-medium-light-skin-tone
🦸🏼‍♀	person-fantasy/woman-superhero-medium-light-skin-tone
🦸🏽‍♀️	person-fantasy/woman-superhero-medium-skin-tone
🦸🏽‍♀	person-fantasy/woman-superhero-medium-skin-tone
🦸🏾‍♀️	person-fantasy/woman-superhero-medium-dark-skin-tone
🦸🏾‍♀	person-fantasy/woman-superhero-medium-dark-skin-tone
🦸🏿‍♀️	person-fantasy/woman-superhero-dark-skin-tone
🦸🏿‍♀	person-fantasy/woman-superhero-dark-skin-tone
🦹	person-fantasy/supervillain
🦹🏻	person-fantasy/supervillain-light-skin-tone
🦹🏼	person-fantasy/supervillain-medium-light-skin-tone
🦹🏽	person-fantasy/supervillain-medium-skin-tone
🦹🏾	person-fantasy/supervillain-medium-dark-skin-tone
🦹🏿	person-fantasy/supervillain-dark-skin-tone
🦹‍♂️	person-fantasy/man-supervillain
🦹‍♂	person-fantasy/man-supervillain
🦹🏻‍♂️	person-fantasy/man-supervillain-light-skin-tone
🦹🏻‍♂	person-fantasy/man-supervillain-light-skin-tone
🦹🏼‍♂️	person-fantasy/man-supervillain-medium-light-skin-tone
🦹🏼‍♂	person-fantasy/man-supervillain-medium-light-skin-tone
🦹🏽‍♂️	person-fantasy/man-supervillain-medium-skin-tone
🦹🏽‍♂	person-fantasy/man-supervillain-medium-skin-tone
🦹🏾‍♂️	person-fantasy/man-supervillain-medium-dark-skin-tone
🦹🏾‍♂	person-fantasy/man-supervillain-medium-dark-skin-tone
🦹🏿‍♂️	person-fantasy/man-supervillain-dark-skin-tone
🦹🏿‍♂	person-fantasy/man-supervillain-dark-skin-tone
🦹‍♀️	person-fantasy/woman-supervillain
🦹‍♀	person-fantasy/woman-supervillain
🦹🏻‍♀️	person-fantasy/woman-supervillain-light-skin-tone
🦹🏻‍♀	person-fantasy/woman-supervillain-light-skin-tone
🦹🏼‍♀️	person-fantasy/woman-supervillain-medium-light-skin-tone
🦹🏼‍♀	person-fantasy/woman-supervillain-medium-light-skin-tone
🦹🏽‍♀️	person-fantasy/woman-supervillain-medium-skin-tone
🦹🏽‍♀	person-fantasy/woman-supervillain-medium-skin-tone
🦹🏾‍♀️	person-fantasy/woman-supervillain-medium-dark-skin-tone
🦹🏾‍♀	person-fantasy/woman-supervillain-medium-dark-skin-tone
🦹🏿‍♀️	person-fantasy/woman-supervillain-dark-skin-tone
🦹🏿‍♀	person-fantasy/woman-supervillain-dark-skin-tone
🧙	person-fantasy/mage
🧙🏻	person-fantasy/mage-light-skin-tone
🧙🏼	person-fantasy/mage-medium-light-skin-tone
🧙🏽	person-fantasy/mage-medium-skin-tone
🧙🏾	person-fantasy/mage-medium-dark-skin-tone
🧙🏿	person-fantasy/mage-dark-skin-tone
🧙‍♂️	person-fantasy/man-mage
🧙‍♂	person-fantasy/man-mage
🧙🏻‍♂️	person-fantasy/man-mage-light-skin-tone
🧙🏻‍♂	person-fantasy/man-mage-light-skin-tone
🧙🏼‍♂️	person-fantasy/man-mage-medium-light-skin-tone
🧙🏼‍♂	person-fantasy/man-mage-medium-light-skin-tone
🧙🏽‍♂️	person-fantasy/man-mage-medium-skin-tone
🧙🏽‍♂	person-fantasy/man-mage-medium-skin-tone
🧙🏾‍♂️	person-fantasy/man-mage-medium-dark-skin-tone
🧙🏾‍♂	person-fantasy/man-mage-medium-dark-skin-tone
🧙🏿‍♂️	person-fantasy/man-mage-dark-skin-tone
🧙🏿‍♂	person-fantasy/man-mage-dark-skin-tone
🧙‍♀️	person-fantasy/woman-mage
🧙‍♀	person-fantasy/woman-mage
🧙🏻‍♀️	person-fantasy/woman-mage-light-skin-tone
🧙🏻‍♀	person-fantasy/woman-mage-light-skin-tone
🧙🏼‍♀️	person-fantasy/woman-mage-medium-light-skin-tone
🧙🏼‍♀	person-fantasy/woman-mage-medium-light-skin-tone
🧙🏽‍♀️	person-fantasy/woman-mage-medium-skin-tone
🧙🏽‍♀	person-fantasy/woman-mage-medium-skin-tone
🧙🏾‍♀️	person-fantasy/woman-mage-medium-dark-skin-tone
🧙🏾‍♀	person-fantasy/woman-mage-medium-dark-skin-tone
🧙🏿‍♀️	person-fantasy/woman-mage-dark-skin-tone
🧙🏿‍♀	person-fantasy/woman-mage-dark-skin-tone
🧚	person-fantasy/fairy
🧚🏻	person-fantasy/fairy-light-skin-tone
🧚🏼	person-fantasy/fairy-medium-light-skin-tone
🧚🏽	person-fantasy/fairy-medium-skin-tone
🧚🏾	person-fantasy/fairy-medium-dark-skin-tone
🧚🏿	person-fantasy/fairy-dark-skin-tone
🧚‍♂️	person-fantasy/man-fairy
🧚‍♂	person-fantasy/man-fairy
🧚🏻‍♂️	person-fantasy/man-fairy-light-skin-tone
🧚🏻‍♂	person-fantasy/man-fairy-light-skin-tone
🧚🏼‍♂️	person-fantasy/man-fairy-medium-light-skin-tone
🧚🏼‍♂	person-fantasy/man-fairy-medium-light-skin-tone
🧚🏽‍♂️	person-fantasy/man-fairy-medium-skin-tone
🧚🏽‍♂	person-fantasy/man-fairy-medium-skin-tone
🧚🏾‍♂️	person-fantasy/man-fairy-medium-dark-skin-tone
🧚🏾‍♂	person-fantasy/man-fairy-medium-dark-skin-tone
🧚🏿‍♂️	person-fantasy/man-fairy-dark-skin-tone
🧚🏿‍♂	person-fantasy/man-fairy-dark-skin-tone
🧚‍♀️	person-fantasy/woman-fairy
🧚‍♀	person-fantasy/woman-fairy
🧚🏻‍♀️	person-fantasy/woman-fairy-light-skin-tone
🧚🏻‍♀	person-fantasy/woman-fairy-light-skin-tone
🧚🏼‍♀️	person-fantasy/woman-fairy-medium-light-skin-tone
🧚🏼‍♀	person-fantasy/woman-fairy-medium-light-skin-tone
🧚🏽‍♀️	person-fantasy/woman-fairy-medium-skin-tone
🧚🏽‍♀	person-fantasy/woman-fairy-medium-skin-tone
🧚🏾‍♀️	person-fantasy/woman-fairy-medium-dark-skin-tone
🧚🏾‍♀	person-fantasy/woman-fairy-medium-dark-skin-tone
🧚🏿‍♀️	person-fantasy/woman-fairy-dark-skin-tone
🧚🏿‍♀	person-fantasy/woman-fairy-dark-skin-tone
🧛	person-fantasy/vampire
🧛🏻	person-fantasy/vampire-light-skin-tone
🧛🏼	person-fantasy/vampire-medium-light-skin-tone
🧛🏽	person-fantasy/vampire-medium-skin-tone
🧛🏾	person-fantasy/vampire-medium-dark-skin-tone
🧛🏿	person-fantasy/vampire-dark-skin-tone
🧛‍♂️	person-fantasy/man-vampire
🧛‍♂	person-fantasy/man-vampire
🧛🏻‍♂️	person-fantasy/man-vampire-light-skin-tone
🧛🏻‍♂	person-fantasy/man-vampire-light-skin-tone
🧛🏼‍♂️	person-fantasy/man-vampire-medium-light-skin-tone
🧛🏼‍♂	person-fantasy/man-vampire-medium-light-skin-tone
🧛🏽‍♂️	person-fantasy/man-vampire-medium-skin-tone
🧛🏽‍♂	person-fantasy/man-vampire-medium-skin-tone
🧛🏾‍♂️	person-fantasy/man-vampire-medium-dark-skin-tone
🧛🏾‍♂	person-fantasy/man-vampire-medium-dark-skin-tone
🧛🏿‍♂️	person-fantasy/man-vampire-dark-skin-tone
🧛🏿‍♂	person-fantasy/man-vampire-dark-skin-tone
🧛‍♀️	person-fantasy/woman-vampire
🧛‍♀	person-fantasy/woman-vampire
🧛🏻‍♀️	person-fantasy/woman-vampire-light-skin-tone
🧛🏻‍♀	person-fantasy/woman-vampire-light-skin-tone
🧛🏼‍♀️	person-fantasy/woman-vampire-medium-light-skin-tone
🧛🏼‍♀	person-fantasy/woman-vampire-medium-light-skin-tone
🧛🏽‍♀️	person-fantasy/woman-vampire-medium-skin-tone
